-2.0, -1.6, -1.2, -0.8, -0.4, 0.0, 0.4, 0.8, 1.2, 1.6, 2.0
-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
-23.723737079456058,-Inf,-31.293267919333964,-Inf,-15.527481050657416,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
-22.45289277074992,-Inf,-24.013609918185917,-16.127360202585603,-Inf,-4.134192303757856,-Inf,-Inf,-Inf,-Inf,-Inf
-19.81110056518691,-37.13938564565598,-20.054240888573972,-20.06559295696128,-14.286369298876608,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
-22.70104849620282,-40.551884141511465,-17.232041693375315,-23.990178163623604,-15.169378994265816,-12.801443433982538,-Inf,-17.372326405130917,-Inf,-Inf,-Inf
-18.784775490550775,-18.784775490550775,-18.784775490550775,-18.784775490550775,-18.784775490550775,-18.784775490550775,-18.784775490550775,-18.784775490550775,-18.784775490550775,-18.784775490550775,-18.784775490550775
-32.48795052593967,-23.12046692457053,-23.26403721659188,-62.389613805494044,-34.69041540549454,-40.49523499329808,-Inf,-Inf,-Inf,-Inf,-Inf
-42.14985280912149,-27.65487247985225,-55.26337624185909,-Inf,-51.64966226053148,NaN,-Inf,-Inf,-Inf,-Inf,-Inf
-Inf,-112.63341833171928,-74.22811148698533,-Inf,-134.85783696548447,-52.21614707332559,-85.75051495973852,-Inf,-Inf,-Inf,-Inf
-50.74388989286862,-Inf,-Inf,-Inf,-80.93690931648666,-59.34693355642157,-Inf,-Inf,-Inf,-Inf,-Inf
-Inf,-49.139863179564045,-60.51460662496187,-Inf,-Inf,-67.20278225591491,-Inf,-Inf,-Inf,-Inf,-Inf
