-2.0, -1.6, -1.2, -0.8, -0.4, 0.0, 0.4, 0.8, 1.2, 1.6, 2.0
-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
-Inf,-240.57636350363555,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
-Inf,-729.0959534314705,-298.4933006629966,-292.7197138578347,-Inf,-313.01238580569697,-Inf,-Inf,-Inf,-212.99541297114928,-Inf
-297.75325199911265,-237.8846511117719,-Inf,-Inf,-442.2577648892842,-380.40131948295306,-Inf,-362.83186933001133,-Inf,-Inf,-Inf
-206.52977041654964,-206.52977041654964,-206.52977041654964,-206.52977041654964,-206.52977041654964,-206.52977041654964,-206.52977041654964,-206.52977041654964,-206.52977041654964,-206.52977041654964,-206.52977041654964
-217.11147934733359,-239.60977969933202,-Inf,-314.24015862918816,-159.7953116752744,-148.08802463576697,-Inf,-279.71272471785153,-Inf,-Inf,-Inf
-194.68822241200218,-Inf,-211.79376599938342,-299.16996601547254,-90.2203049722406,-112.63031406296362,-Inf,-Inf,-220.48126410805108,-Inf,-Inf
-250.71760870965295,-226.32366934811267,-Inf,-206.18871024125414,-230.53749421824796,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
-Inf,-Inf,-281.86332466578904,-Inf,-Inf,-Inf,-556.3838336391096,-Inf,-Inf,-Inf,-Inf
-Inf,-389.12435772822505,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
